node_type,timestamp,power
gpu,1774998000000,138016.74710100004
gpu,1775001600000,138015.79299599997
gpu,1775005200000,142346.6411760001
gpu,1775008800000,141009.70266600003
gpu,1775012400000,138000.30902699992
gpu,1775016000000,137288.753397
gpu,1775019600000,130313.820232
gpu,1775023200000,138844.14281099997
gpu,1775026800000,127228.30137599997
gpu,1775030400000,117357.16488499999
gpu,1775034000000,131179.63523900005
gpu,1775037600000,133859.51623500008
gpu,1775041200000,133295.17504699997
gpu,1775044800000,131814.65269099997
gpu,1775048400000,133915.54038499997
gpu,1775052000000,131386.22855700005
gpu,1775055600000,135461.62184999994
gpu,1775059200000,144318.07634599996
gpu,1775062800000,142399.17149200002
gpu,1775066400000,129590.00894199997
gpu,1775070000000,136244.31829400006
gpu,1775073600000,147066.489375
gpu,1775077200000,129957.69957999999
gpu,1775080800000,136296.741523
gpu,1775084400000,132792.28465799996
gpu,1775088000000,137458.964585
gpu,1775091600000,138216.12734900005
gpu,1775095200000,131105.22210400004
gpu,1775098800000,140973.32716499997
gpu,1775102400000,143522.942917
gpu,1775106000000,135732.574134
gpu,1775109600000,149719.98188700006
gpu,1775113200000,141004.359075
gpu,1775116800000,140224.333588
gpu,1775120400000,127489.59502499999
gpu,1775124000000,124028.85937500001
gpu,1775127600000,115489.490413
gpu,1775131200000,117301.595309
gpu,1775134800000,108182.14434600002
gpu,1775138400000,113980.35518800003
gpu,1775142000000,125681.06625000002
gpu,1775145600000,130946.198032
gpu,1775149200000,122603.86894000001
gpu,1775152800000,133809.05863299998
gpu,1775156400000,131184.522853
gpu,1775160000000,119662.69927400004
gpu,1775163600000,116265.49984499997
gpu,1775167200000,120372.35983799997
gpu,1775170800000,114147.67099699996
gpu,1775174400000,113756.67788300001
gpu,1775178000000,124619.225615
gpu,1775181600000,128502.53540800004
gpu,1775185200000,127082.42682700003
gpu,1775188800000,118809.679384
gpu,1775192400000,124105.40086700002
gpu,1775196000000,120913.015929
gpu,1775199600000,115522.42011699999
gpu,1775203200000,122243.17492900002
gpu,1775206800000,120881.82145700001
gpu,1775210400000,121182.56060800001
gpu,1775214000000,116820.32880800002
gpu,1775217600000,116600.79343899996
gpu,1775221200000,117350.17527500002
gpu,1775224800000,114840.28951299997
gpu,1775228400000,118958.51856399998
gpu,1775232000000,121240.34026699995
gpu,1775235600000,117776.82453099999
gpu,1775239200000,119387.97663699997
gpu,1775242800000,114200.474678
gpu,1775246400000,106097.73594500007
gpu,1775250000000,115582.78247499997
gpu,1775253600000,121393.51934499994
gpu,1775257200000,116369.04472600001
gpu,1775260800000,113252.45208199996
gpu,1775264400000,120923.24743199999
gpu,1775268000000,113643.24119399997
gpu,1775271600000,116280.26409299998
gpu,1775275200000,116168.11877500004
gpu,1775278800000,119413.14162499997
gpu,1775282400000,122452.51506800005
gpu,1775286000000,120169.46704599998
gpu,1775289600000,112488.87111500005
gpu,1775293200000,108373.41966499995
gpu,1775296800000,112684.532115
gpu,1775300400000,110756.928248
gpu,1775304000000,109603.42374900005
gpu,1775307600000,108188.124106
gpu,1775311200000,106477.50387999999
gpu,1775314800000,110846.84947299997
gpu,1775318400000,114950.45185999999
gpu,1775322000000,121350.28134999998
gpu,1775325600000,116373.135527
gpu,1775329200000,110100.95722299998
gpu,1775332800000,117075.64967399999
gpu,1775336400000,114293.31639200001
gpu,1775340000000,116961.18469600001
gpu,1775343600000,109824.65694500002
gpu,1775347200000,112218.03521599999
gpu,1775350800000,111475.04732000004
gpu,1775354400000,112321.13715700002
gpu,1775358000000,106583.43106199999
gpu,1775361600000,114886.33874900002
gpu,1775365200000,114147.82564700003
gpu,1775368800000,103427.69419200001
gpu,1775372400000,110432.903921
gpu,1775376000000,105707.647329
gpu,1775379600000,109402.009778
gpu,1775383200000,108047.19649300001
gpu,1775386800000,113212.76922500001
gpu,1775390400000,99650.80822999998
gpu,1775394000000,102949.80683900001
gpu,1775397600000,102623.82953
gpu,1775401200000,105954.16432599997
